Question,Option_A,Option_B,Option_C,Option_D,Correct_answer,Subject,Topic,Year,Date,Shift,Exam,Image_url,,,
"Let $\alpha,\beta$ be roots of $x^2+\sqrt{3}x-16=0$ and $\gamma,\delta$ be roots of $x^2+3x-1=0$. If $P_n=\alpha^n+\beta^n$ and $Q_n=\gamma^n+\delta^n$, then $\frac{P_{25}+P_{34}}{2P_{25}}+\frac{Q_{25}+Q_{35}}{2Q_{25}}$ equals",3,4,5,7,A,Maths,Quadratic Equation,2025,April,1,MAINS,,,,
"For $t>-1$, let $\alpha,\beta$ be roots of $((t+2)^3-1)x^2+((t+2)^3-1)x+((t+2)^3-1)=0$. If $\lim_{t\to\alpha^+}\alpha t$ and $\lim_{t\to\beta^-}\beta t$ are finite, then $72(\alpha+\beta)$ equals",1,2,3,4,A,Maths,Quadratic Equation,2025,April,1,MAINS,,,,
"If $P_n=\alpha^n+\beta^n$, $N\in\mathbb{N}$, if $P_{10}=123$, $P_9=76$, $P_8=47$ and $P_1=1$, then the quadratic equation having roots $\frac{1}{\alpha}$ and $\frac{1}{\beta}$ is",$x^2-x+1=0$,$x^2+x-1=0$,$x^2-x-1=0$,$x^2+x+1=0$,A,Maths,Quadratic Equation,2025,April,1,MAINS,,,,
"If the set of all $a\in\mathbb{R}\setminus\{1\}$, for which the roots of $(1-a)x^2+2(a-3)x+9=0$ are positive is $(-\infty,-\alpha]\cup[\beta,\gamma)$, then $2\alpha+\beta+\gamma$ equals",1,2,3,4,A,Maths,Quadratic Equation,2025,April,1,MAINS,,,,
"Consider the equation $x^2+4x-n=0$, where $n\in[20,100]$ is a natural number. Then the number of all distinct values of $n$, for which the given equation has integral roots, is equal to",7,8,6,5,A,Maths,Quadratic Equation,2025,April,1,MAINS,,,,
"Let the set of all values of $p\in\mathbb{R}$, for which both the roots of $x^2-(p+2)x+(2p+9)=0$ are negative real numbers, be $(\alpha,\beta]$. Then $\beta-2\alpha$ is equal to",0,9,5,20,A,Maths,Quadratic Equation,2025,April,1,MAINS,,,,
The number of real roots of the equation $x|x-2|+3|x-3|+1=0$ is,4,2,1,3,A,Maths,Quadratic Equation,2025,April,1,MAINS,,,,
"The sum of the squares of the roots of $|x+2|^2+|x-2|-2=0$ and the squares of the roots of $x^2-2|x-3|-5=0$, is",26,36,30,24,A,Maths,Quadratic Equation,2025,April,1,MAINS,,,,
The number of solutions of the equation $\left(\frac{9}{x-1}-\frac{9}{x+1}+2\right)\left(\frac{2}{x-1}-\frac{7}{x+1}+3\right)=0$ is,2,3,1,4,A,Maths,Quadratic Equation,2025,April,1,MAINS,,,,
The sum of the squares of all the roots of the equation $x^2+|2x-3|-4=0$ is,$3(3-\sqrt{2})$,$2(6-3\sqrt{2})$,$6(2-\sqrt{2})$,$3(2-\sqrt{2})$,A,Maths,Quadratic Equation,2025,April,1,MAINS,,,,
"If the set of all $a\in\mathbb{R}$, for which the equation $2x^2+(a-5)x+15=3a$ has no real root, is the interval $(\alpha,\beta)$, and $X=\{x\in\mathbb{Z}:\alpha<x<\beta\}$, then $\sum_{x\in X} x^2$ is equal to",2109,2129,2119,2139,A,Maths,Quadratic Equation,2025,April,1,MAINS,,,,
"If the equation $a(b-c)x^2+b(c-a)x+c(a-b)=0$ has equal roots, where $a+c=15$ and $b=\frac{36}{5}$, then $a^2+c^2$ is equal to",1,2,3,4,A,Maths,Quadratic Equation,2025,April,1,MAINS,,,,
The product of all the rational roots of the equation $(x^2-9x+11)^2-(x-4)(x-5)=3$ is equal to,14,21,28,7,A,Maths,Quadratic Equation,2025,April,1,MAINS,,,,
"Let $\alpha$ and $\beta$ be the distinct roots of $2x^2+(\cos\theta)x-1=0$, $\theta\in(0,2\pi)$. If $m$ and $M$ are the minimum and the maximum values of $\alpha^4+\beta^4$, then $16(M+m)$ equals",24,25,17,27,A,Maths,Quadratic Equation,2025,April,1,MAINS,,,,
